,Round,Pick,Team,Name,Position,College,Score,Score.Multiplier,Combined.Rank,Score.Multiplier.Rank,Average.Rank
70,3,70,Jacksonville Jaguars,Phidarian Mathis,DL,Alabama,391,430.1,66,71,68.5
71,3,71,Chicago Bears,Mykael Wright,CB,Oregon,318,413.4,83,75,79
72,3,72,Seattle Seahawks,Jamaree Salyer,OG,Georgia,363,435.6,74,69,71.5
73,3,73,Indianapolis Colts,Max Mitchell,OT,Louisiana,310,403,85,78,81.5
74,3,74,Atlanta Falcons,Kenneth Walker III,RB,Michigan State,464,417.6,44,74,59
75,3,75,Denver Broncos,Chad Muma,LB,Wyoming,444,444,49,64,56.5
76,3,76,Baltimore Ravens,Sean Rhyan,OG,UCLA,340,408,79,77,78
77,3,77,Minnesota Vikings,Boye Mafe,EDGE,Minnesota,341,409.2,78,76,77
78,3,78,Cleveland Browns,Travis Jones,DL,Connecticut,382,420.2,69,72,70.5
79,3,79,Los Angeles Chargers,Damone Clark,LB,LSU,379,379,71,81,76
80,3,80,Houston Texans,Sam Williams,EDGE,Ole Miss,307,368.4,86,83,84.5
81,3,81,New York Giants,Ed Ingram,OG,LSU,314,376.8,84,82,83
82,3,82,Atlanta Falcons,Romeo Doubs,WR,Nevada,297,356.4,87,85,86
83,3,83,Philadelphia Eagles,Thayer Munford,OG,Ohio State,279,334.8,94,89,91.5
84,3,84,Pittsburgh Steelers,Marquis Hayes,OG,Oklahoma,260,312,99,96,97.5
85,3,85,New England Patriots,Bryan Cook,S,Cincinnati,285,342,93,88,90.5
86,3,86,Las Vegas Raiders,Christian Watson,WR,North Dakota State,296,355.2,88,86,87
87,3,87,Arizona Cardinals,Abraham Lucas,OT,Washington State,245,318.5,103,94,98.5
88,3,88,Dallas Cowboys,Akayleb Evans,CB,Missouri,237,308.1,105,97,101
89,3,89,Buffalo Bills,Neil Farrell Jr.,DL,LSU,290,319,89,92,90.5
90,3,90,Tennessee Titans,Quay Walker,LB,Georgia,332,332,81,90,85.5
91,3,91,Tampa Bay Buccaneers,Haskell Garrett,DL,Ohio State,290,319,90,93,91.5
92,3,92,Green Bay Packers,Kellen Diesch,OT,Arizona State,229,297.7,108,99,103.5
93,3,93,San Francisco 49ers,Justin Shaffer,OG,Georgia,256,307.2,101,98,99.5
94,3,94,Kansas City Chiefs,Brandon Smith,LB,Penn State,326,326,82,91,86.5
95,3,95,Cincinnati Bengals,Rasheed Walker,OT,Penn State,229,297.7,109,100,104.5
96,3,96,Denver Broncos,Luke Fortner,OG,Kentucky,234,280.8,106,105,105.5
97,3,97,Detroit Lions,Jalen Tolbert,WR,South Alabama,287,344.4,91,87,89
98,3,98,New Orleans Saints,Mario Goodrich,CB,Clemson,220,286,115,103,109
99,3,99,Cleveland Browns,Alec Pierce,WR,Cincinnati,265,318,98,95,96.5
100,3,100,Baltimore Ravens,Channing Tindall,LB,Georgia,274,274,95,108,101.5
101,3,101,New Orleans Saints,Jeremy Ruckert,TE,Ohio State,356,391.6,76,79,77.5
102,3,102,Miami Dolphins,Kyren Williams,RB,Notre Dame,424,381.6,57,80,68.5
103,3,103,Kansas City Chiefs,Tyler Smith,OT,Tulsa,176,228.8,126,119,122.5
104,3,104,Los Angeles Rams,Lecitus Smith,OG,Virginia Tech,233,279.6,107,106,106.5
105,3,105,San Francisco 49ers,Kerby Joseph,S,Illinois,228,273.6,110,109,109.5
